"geo","geo_tipo","regiao","ano","variavel","valor","lo95","hi95","tipo","horizonte"
"Acre","estado","Norte",2002,"idx_deflator",100,,,"Histórico","Histórico"
"Acre","estado","Norte",2003,"idx_deflator",111.29,,,"Histórico","Histórico"
"Acre","estado","Norte",2004,"idx_deflator",109.84,,,"Histórico","Histórico"
"Acre","estado","Norte",2005,"idx_deflator",121.6,,,"Histórico","Histórico"
"Acre","estado","Norte",2006,"idx_deflator",122.96,,,"Histórico","Histórico"
"Acre","estado","Norte",2007,"idx_deflator",137.87,,,"Histórico","Histórico"
"Acre","estado","Norte",2008,"idx_deflator",152.54,,,"Histórico","Histórico"
"Acre","estado","Norte",2009,"idx_deflator",171.9,,,"Histórico","Histórico"
"Acre","estado","Norte",2010,"idx_deflator",180.48,,,"Histórico","Histórico"
"Acre","estado","Norte",2011,"idx_deflator",185.66,,,"Histórico","Histórico"
"Acre","estado","Norte",2012,"idx_deflator",198.07,,,"Histórico","Histórico"
"Acre","estado","Norte",2013,"idx_deflator",219.18,,,"Histórico","Histórico"
"Acre","estado","Norte",2014,"idx_deflator",246.24,,,"Histórico","Histórico"
"Acre","estado","Norte",2015,"idx_deflator",253.04,,,"Histórico","Histórico"
"Acre","estado","Norte",2016,"idx_deflator",261.81,,,"Histórico","Histórico"
"Acre","estado","Norte",2017,"idx_deflator",271.15,,,"Histórico","Histórico"
"Acre","estado","Norte",2018,"idx_deflator",289.72,,,"Histórico","Histórico"
"Acre","estado","Norte",2019,"idx_deflator",294.7,,,"Histórico","Histórico"
"Acre","estado","Norte",2020,"idx_deflator",324.21,,,"Histórico","Histórico"
"Acre","estado","Norte",2021,"idx_deflator",394.03,,,"Histórico","Histórico"
"Acre","estado","Norte",2022,"idx_deflator",411.83,,,"Histórico","Histórico"
"Acre","estado","Norte",2023,"idx_deflator",398.6,,,"Histórico","Histórico"
"Acre","estado","Norte",2024,"idx_deflator",420.41,137.39,1217.14,"Projetado","Operacional"
"Acre","estado","Norte",2025,"idx_deflator",463.52,62.35,6272.19,"Projetado","Operacional"
"Acre","estado","Norte",2026,"idx_deflator",537.46,30.7,58278.29,"Projetado","Operacional"
"Acre","estado","Norte",2002,"idx_vol_pib",100,,,"Histórico","Histórico"
"Acre","estado","Norte",2003,"idx_vol_pib",102.13,,,"Histórico","Histórico"
"Acre","estado","Norte",2004,"idx_vol_pib",115.94,,,"Histórico","Histórico"
"Acre","estado","Norte",2005,"idx_vol_pib",119.03,,,"Histórico","Histórico"
"Acre","estado","Norte",2006,"idx_vol_pib",127.6,,,"Histórico","Histórico"
"Acre","estado","Norte",2007,"idx_vol_pib",133.24,,,"Histórico","Histórico"
"Acre","estado","Norte",2008,"idx_vol_pib",141.43,,,"Histórico","Histórico"
"Acre","estado","Norte",2009,"idx_vol_pib",145.03,,,"Histórico","Histórico"
"Acre","estado","Norte",2010,"idx_vol_pib",155.57,,,"Histórico","Histórico"
"Acre","estado","Norte",2011,"idx_vol_pib",162.23,,,"Histórico","Histórico"
"Acre","estado","Norte",2012,"idx_vol_pib",172.26,,,"Histórico","Histórico"
"Acre","estado","Norte",2013,"idx_vol_pib",176.19,,,"Histórico","Histórico"
"Acre","estado","Norte",2014,"idx_vol_pib",183.95,,,"Histórico","Histórico"
"Acre","estado","Norte",2015,"idx_vol_pib",181.19,,,"Histórico","Histórico"
"Acre","estado","Norte",2016,"idx_vol_pib",176.81,,,"Histórico","Histórico"
"Acre","estado","Norte",2017,"idx_vol_pib",177.16,,,"Histórico","Histórico"
"Acre","estado","Norte",2018,"idx_vol_pib",178.1,,,"Histórico","Histórico"
"Acre","estado","Norte",2019,"idx_vol_pib",178.5,,,"Histórico","Histórico"
"Acre","estado","Norte",2020,"idx_vol_pib",171.04,,,"Histórico","Histórico"
"Acre","estado","Norte",2021,"idx_vol_pib",182.57,,,"Histórico","Histórico"
"Acre","estado","Norte",2022,"idx_vol_pib",193.48,,,"Histórico","Histórico"
"Acre","estado","Norte",2023,"idx_vol_pib",221.99,,,"Histórico","Histórico"
"Acre","estado","Norte",2024,"idx_vol_pib",251.92,149.08,354.75,"Projetado","Operacional"
"Acre","estado","Norte",2025,"idx_vol_pib",287.24,78.02,623.33,"Projetado","Operacional"
"Acre","estado","Norte",2026,"idx_vol_pib",329.27,28.69,1199.85,"Projetado","Operacional"
"Acre","estado","Norte",2002,"impostos_nominal",228.471,,,"Histórico","Histórico"
"Acre","estado","Norte",2003,"impostos_nominal",274.852,,,"Histórico","Histórico"
"Acre","estado","Norte",2004,"impostos_nominal",326.711,,,"Histórico","Histórico"
"Acre","estado","Norte",2005,"impostos_nominal",389.566,,,"Histórico","Histórico"
"Acre","estado","Norte",2006,"impostos_nominal",465.522,,,"Histórico","Histórico"
"Acre","estado","Norte",2007,"impostos_nominal",504.531,,,"Histórico","Histórico"
"Acre","estado","Norte",2008,"impostos_nominal",557.107,,,"Histórico","Histórico"
"Acre","estado","Norte",2009,"impostos_nominal",623.027,,,"Histórico","Histórico"
"Acre","estado","Norte",2010,"impostos_nominal",777.802,,,"Histórico","Histórico"
"Acre","estado","Norte",2011,"impostos_nominal",784.146,,,"Histórico","Histórico"
"Acre","estado","Norte",2012,"impostos_nominal",988.545,,,"Histórico","Histórico"
"Acre","estado","Norte",2013,"impostos_nominal",990.407,,,"Histórico","Histórico"
"Acre","estado","Norte",2014,"impostos_nominal",1109.712,,,"Histórico","Histórico"
"Acre","estado","Norte",2015,"impostos_nominal",1179.675,,,"Histórico","Histórico"
"Acre","estado","Norte",2016,"impostos_nominal",1254.239,,,"Histórico","Histórico"
"Acre","estado","Norte",2017,"impostos_nominal",1437.277,,,"Histórico","Histórico"
"Acre","estado","Norte",2018,"impostos_nominal",1709.065,,,"Histórico","Histórico"
"Acre","estado","Norte",2019,"impostos_nominal",1690.726,,,"Histórico","Histórico"
"Acre","estado","Norte",2020,"impostos_nominal",1679.9,,,"Histórico","Histórico"
"Acre","estado","Norte",2021,"impostos_nominal",2078.713,,,"Histórico","Histórico"
"Acre","estado","Norte",2022,"impostos_nominal",2177.1349548179,,,"Histórico","Histórico"
"Acre","estado","Norte",2023,"impostos_nominal",2337.7906030511,,,"Histórico","Histórico"
"Acre","estado","Norte",2024,"impostos_nominal",2380.26518552354,2149.6553815731,2635.61424867521,"Projetado","Operacional"
"Acre","estado","Norte",2025,"impostos_nominal",2477.98656928714,2237.90891174377,2743.81919896055,"Projetado","Operacional"
"Acre","estado","Norte",2026,"impostos_nominal",2551.07962163449,2303.91994619221,2824.75406607545,"Projetado","Operacional"
"Acre","estado","Norte",2002,"pib_nominal",2971.30127804056,,,"Histórico","Histórico"
"Acre","estado","Norte",2003,"pib_nominal",3377.23425010167,,,"Histórico","Histórico"
"Acre","estado","Norte",2004,"pib_nominal",3784.00257414234,,,"Histórico","Histórico"
"Acre","estado","Norte",2005,"pib_nominal",4300.581271739,,,"Histórico","Histórico"
"Acre","estado","Norte",2006,"pib_nominal",4661.80695107055,,,"Histórico","Histórico"
"Acre","estado","Norte",2007,"pib_nominal",5458.172175203,,,"Histórico","Histórico"
"Acre","estado","Norte",2008,"pib_nominal",6410.25467692723,,,"Histórico","Histórico"
